,venue,inning,Date,bat_team,bowl_team,batsmen,bowlers,run,batsman1,batsman2,bowler1,bowler2
19,27,2,2008,8,5,"['L Ronchi', 'ST Jayasuriya', 'RV Uthappa', 'DJ Bravo', 'SS Tiwary', 'SM Pollock', 'AM Nayar', 'Harbhajan Singh', 'MA Khote', 'DS Kulkarni', 'A Nehra']","['B Lee', 'IK Pathan', 'VRV Singh', 'S Sreesanth', 'PP Chawla']",42.0,59,131,28,79
20,18,1,2008,7,0,"['SC Ganguly', 'BB McCullum', 'RT Ponting', 'WP Saha', 'DJ Hussey', 'Mohammad Hafeez', 'LR Shukla', 'AB Agarkar', 'M Kartik', 'I Sharma']","['JDP Oram', 'MS Gony', 'P Amarnath', 'M Muralitharan', 'Joginder Sharma']",62.0,116,14,75,133
21,18,2,2008,0,7,"['PA Patel', 'ML Hayden', 'MS Dhoni']","['AB Dinda', 'I Sharma', 'AB Agarkar', 'DJ Hussey', 'Mohammad Hafeez', 'M Kartik', 'LR Shukla']",55.0,87,82,11,77
22,15,1,2008,13,10,"['S Chanderpaul', 'R Dravid', 'LRPL Taylor', 'JH Kallis', 'V Kohli', 'MV Boucher', 'P Kumar', 'SB Joshi', 'Z Khan', 'R Vinay Kumar']","['SR Watson', 'Sohail Tanvir', 'MM Patel', 'SK Trivedi', 'SK Warne', 'YK Pathan']",59.0,109,98,166,197
23,15,2,2008,10,13,"['GC Smith', 'M Rawat', 'YK Pathan', 'SR Watson', 'M Kaif']","['P Kumar', 'Z Khan', 'R Vinay Kumar', 'A Kumble', 'JH Kallis', 'SB Joshi']",47.0,38,71,124,219
24,5,1,2008,8,1,"['L Ronchi', 'ST Jayasuriya', 'AM Rahane', 'RV Uthappa', 'SM Pollock', 'AM Nayar', 'DJ Bravo', 'MA Khote']","['RP Singh', 'DNT Zoysa', 'SB Bangar', 'Shahid Afridi', 'PP Ojha', 'D Kalyankrishna']",31.0,59,131,141,61
25,5,2,2008,1,8,"['AC Gilchrist', 'VVS Laxman']","['A Nehra', 'SM Pollock', 'DS Kulkarni', 'ST Jayasuriya', 'SD Chitnis', 'DJ Bravo', 'AM Nayar']",62.0,6,143,4,187
26,27,1,2008,3,5,"['G Gambhir', 'V Sehwag', 'S Dhawan', 'Shoaib Malik', 'MK Tiwary', 'KD Karthik', 'R Bhatia', 'MF Maharoof', 'VY Mahesh']","['B Lee', 'IK Pathan', 'S Sreesanth', 'VRV Singh', 'PP Chawla', 'Yuvraj Singh']",49.0,37,142,28,79
27,27,2,2008,5,3,"['K Goel', 'SM Katich', 'KC Sangakkara', 'DPMD Jayawardene', 'Yuvraj Singh', 'TM Srivastava', 'IK Pathan', 'B Lee']","['GD McGrath', 'Mohammad Asif', 'MF Maharoof', 'VY Mahesh', 'Shoaib Malik', 'R Bhatia']",57.0,53,121,57,135
28,15,1,2008,0,13,"['PA Patel', 'ML Hayden', 'MEK Hussey', 'SK Raina', 'MS Dhoni']","['DW Steyn', 'Z Khan', 'P Kumar', 'JH Kallis', 'B Akhil']",39.0,87,82,55,219
29,15,2,2008,13,0,"['B Chipli', 'W Jaffer', 'LRPL Taylor', 'JH Kallis', 'MV Boucher', 'V Kohli', 'R Dravid', 'P Kumar', 'Z Khan', 'B Akhil', 'DW Steyn']","['JDP Oram', 'MS Gony', 'JA Morkel', 'P Amarnath', 'Joginder Sharma']",47.0,15,145,75,133
30,8,1,2008,7,8,"['BB McCullum', 'SC Ganguly', 'RT Ponting', 'DB Das', 'DJ Hussey', 'Mohammad Hafeez', 'AB Agarkar', 'LR Shukla', 'M Kartik']","['SM Pollock', 'A Nehra', 'CRD Fernando', 'DS Kulkarni', 'DJ Bravo', 'ST Jayasuriya']",41.0,17,117,163,5
31,8,2,2008,8,7,"['AM Rahane', 'ST Jayasuriya', 'MK Pandey', 'RV Uthappa', 'DJ Bravo']","['AB Agarkar', 'I Sharma', 'AB Dinda', 'M Kartik', 'Mohammad Hafeez', 'SC Ganguly', 'LR Shukla']",41.0,11,131,10,77
32,9,1,2008,3,13,"['G Gambhir', 'V Sehwag', 'S Dhawan', 'Shoaib Malik', 'KD Karthik', 'MK Tiwary', 'R Bhatia']","['DW Steyn', 'Z Khan', 'P Kumar', 'R Vinay Kumar', 'JH Kallis', 'V Kohli', 'SB Joshi']",61.0,37,142,55,219
33,9,2,2008,13,3,"['P Kumar', 'LRPL Taylor', 'W Jaffer', 'JH Kallis', 'R Dravid', 'MV Boucher', 'V Kohli']","['GD McGrath', 'Mohammad Asif', 'VY Mahesh', 'DL Vettori', 'R Bhatia', 'Shoaib Malik', 'V Sehwag']",57.0,86,67,57,135
34,32,1,2008,10,7,"['GC Smith', 'SA Asnodkar', 'M Kaif', 'YK Pathan', 'SR Watson', 'RA Jadeja', 'SK Warne', 'Sohail Tanvir', 'M Rawat']","['AB Dinda', 'I Sharma', 'AB Agarkar', 'Umar Gul', 'DJ Hussey', 'SC Ganguly', 'LR Shukla']",50.0,38,115,11,77
35,32,2,2008,7,10,"['Salman Butt', 'SC Ganguly', 'AB Agarkar', 'BJ Hodge', 'DJ Hussey', 'LR Shukla', 'DB Das', 'WP Saha', 'Umar Gul', 'AB Dinda', 'I Sharma']","['SR Watson', 'Sohail Tanvir', 'SK Trivedi', 'MM Patel', 'SK Warne', 'YK Pathan']",57.0,126,117,166,197
36,29,1,2008,1,5,"['AC Gilchrist', 'VVS Laxman', 'HH Gibbs', 'RG Sharma', 'Shahid Afridi', 'Y Venugopal Rao', 'SB Bangar', 'DNT Zoysa', 'D Kalyankrishna', 'RP Singh']","['S Sreesanth', 'IK Pathan', 'VRV Singh', 'PP Chawla', 'Gagandeep Singh']",52.0,6,143,153,79
37,29,2,2008,5,1,"['SE Marsh', 'RR Sarwan', 'KC Sangakkara', 'Yuvraj Singh', 'DPMD Jayawardene']","['RP Singh', 'DNT Zoysa', 'Shahid Afridi', 'SB Bangar', 'D Kalyankrishna', 'Y Venugopal Rao']",41.0,117,107,141,61
38,18,1,2008,0,3,"['PA Patel', 'SP Fleming', 'S Vidyut', 'MS Dhoni', 'JA Morkel', 'SK Raina', 'S Badrinath']","['GD McGrath', 'Mohammad Asif', 'VY Mahesh', 'PJ Sangwan', 'Shoaib Malik', 'V Sehwag', 'R Bhatia']",50.0,87,123,57,135
39,18,2,2008,3,0,"['G Gambhir', 'V Sehwag', 'AB de Villiers', 'S Dhawan']","['M Ntini', 'MS Gony', 'JA Morkel', 'Joginder Sharma', 'M Muralitharan']",66.0,37,142,100,133
40,27,1,2008,5,7,"['SE Marsh', 'JR Hopes', 'KC Sangakkara', 'Yuvraj Singh', 'DPMD Jayawardene', 'K Goel', 'IK Pathan', 'PP Chawla']","['I Sharma', 'AB Agarkar', 'AB Dinda', 'Mohammad Hafeez', 'DJ Hussey', 'Umar Gul']",52.0,117,57,65,11
41,27,2,2008,7,5,"['Mohammad Hafeez', 'SC Ganguly', 'BJ Hodge', 'DB Das', 'LR Shukla', 'DJ Hussey', 'WP Saha', 'AB Agarkar']","['S Sreesanth', 'IK Pathan', 'VRV Singh', 'Gagandeep Singh', 'JR Hopes', 'PP Chawla']",37.0,79,117,153,79
42,15,1,2008,13,1,"['B Chipli', 'W Jaffer', 'V Kohli', 'JH Kallis', 'Misbah-ul-Haq', 'R Dravid', 'MV Boucher', 'P Kumar']","['DP Vijaykumar', 'RP Singh', 'SB Styris', 'Shahid Afridi', 'PP Ojha', 'SB Bangar']",48.0,15,145,51,169
43,15,2,2008,1,13,"['AC Gilchrist', 'VVS Laxman', 'HH Gibbs', 'RG Sharma', 'Shahid Afridi', 'SB Styris', 'SB Bangar', 'AS Yadav']","['DW Steyn', 'Z Khan', 'P Kumar', 'A Kumble', 'JH Kallis']",35.0,6,143,55,219
44,32,1,2008,0,10,"['PA Patel', 'S Vidyut', 'SP Fleming', 'SK Raina', 'S Badrinath', 'MS Dhoni', 'JA Morkel', 'Joginder Sharma', 'MS Gony', 'M Muralitharan', 'M Ntini']","['Sohail Tanvir', 'SR Watson', 'MM Patel', 'SK Trivedi', 'SK Warne', 'YK Pathan']",44.0,87,114,175,191
45,32,2,2008,10,0,"['GC Smith', 'SA Asnodkar', 'YK Pathan', 'SR Watson']","['M Ntini', 'MS Gony', 'JA Morkel', 'M Muralitharan', 'SK Raina', 'S Vidyut']",46.0,38,115,100,133
46,5,1,2008,8,3,"['YV Takawale', 'ST Jayasuriya', 'DJ Thornely', 'RV Uthappa', 'DJ Bravo', 'AM Nayar', 'SM Pollock', 'SS Tiwary', 'RR Raje']","['GD McGrath', 'Mohammad Asif', 'VY Mahesh', 'PJ Sangwan', 'R Bhatia', 'V Sehwag', 'Shoaib Malik']",52.0,142,131,57,135
47,5,2,2008,3,8,"['G Gambhir', 'V Sehwag', 'S Dhawan', 'AB de Villiers', 'Shoaib Malik', 'KD Karthik', 'R Bhatia', 'PJ Sangwan', 'VY Mahesh', 'Mohammad Asif', 'GD McGrath']","['SM Pollock', 'A Nehra', 'DJ Bravo', 'DS Kulkarni', 'ST Jayasuriya', 'DJ Thornely', 'RR Raje']",37.0,37,142,163,5
48,15,1,2008,13,5,"['W Jaffer', 'CL White', 'JH Kallis', 'V Kohli', 'R Dravid', 'Misbah-ul-Haq', 'P Kumar', 'DT Patil', 'Z Khan', 'A Kumble', 'DW Steyn']","['S Sreesanth', 'IK Pathan', 'Gagandeep Singh', 'VRV Singh', 'PP Chawla', 'JR Hopes']",29.0,137,22,153,79
49,15,2,2008,5,13,"['SE Marsh', 'JR Hopes', 'RR Sarwan', 'Yuvraj Singh', 'DPMD Jayawardene', 'IK Pathan']","['DW Steyn', 'Z Khan', 'P Kumar', 'JH Kallis', 'A Kumble']",61.0,117,57,55,219
50,18,1,2008,0,1,"['PA Patel', 'S Anirudha', 'SP Fleming', 'SK Raina', 'S Badrinath', 'MS Dhoni', 'JA Morkel', 'Joginder Sharma', 'MS Gony']","['DP Vijaykumar', 'RP Singh', 'SB Styris', 'Shahid Afridi', 'SB Bangar', 'PP Ojha']",42.0,87,110,51,169
51,18,2,2008,1,0,"['AC Gilchrist', 'HH Gibbs', 'SB Styris', 'RG Sharma', 'Shahid Afridi']","['M Ntini', 'MS Gony', 'JA Morkel', 'Joginder Sharma', 'M Muralitharan']",51.0,6,42,100,133
52,5,1,2008,10,8,"['GC Smith', 'SA Asnodkar', 'YK Pathan', 'SR Watson', 'M Kaif', 'RA Jadeja', 'SK Warne', 'Sohail Tanvir', 'M Rawat', 'SK Trivedi', 'MM Patel']","['SM Pollock', 'A Nehra', 'DS Kulkarni', 'DJ Bravo', 'ST Jayasuriya', 'RR Raje']",48.0,38,115,163,5
53,5,2,2008,8,10,"['YV Takawale', 'ST Jayasuriya', 'RV Uthappa', 'DJ Bravo', 'AM Nayar']","['Sohail Tanvir', 'MM Patel', 'SK Trivedi', 'SR Watson', 'SK Warne']",38.0,142,131,175,129
54,9,1,2008,3,0,"['G Gambhir', 'V Sehwag', 'AB de Villiers', 'S Dhawan', 'Shoaib Malik', 'KD Karthik', 'MK Tiwary']","['MS Gony', 'JA Morkel', 'M Muralitharan', 'P Amarnath', 'L Balaji', 'CK Kapugedera']",53.0,37,142,114,84
55,9,2,2008,0,3,"['S Vidyut', 'SP Fleming', 'MS Dhoni', 'SK Raina', 'JA Morkel', 'CK Kapugedera', 'MS Gony', 'S Badrinath']","['GD McGrath', 'Mohammad Asif', 'VY Mahesh', 'PJ Sangwan', 'Shoaib Malik', 'V Sehwag']",66.0,113,123,57,135
56,8,1,2008,7,13,"['A Chopra', 'BJ Hodge', 'SC Ganguly', 'DJ Hussey', 'T Taibu', 'LR Shukla', 'M Kartik', 'WP Saha', 'Umar Gul']","['DW Steyn', 'Z Khan', 'P Kumar', 'R Vinay Kumar', 'A Kumble']",43.0,0,16,55,219
57,8,2,2008,13,7,"['J Arunkumar', 'S Chanderpaul', 'MV Boucher', 'R Dravid', 'CL White', 'P Kumar']","['AB Dinda', 'I Sharma', 'Umar Gul', 'SC Ganguly', 'M Kartik', 'LR Shukla']",37.0,44,112,11,77
58,32,1,2008,1,10,"['AC Gilchrist', 'HH Gibbs', 'SB Styris', 'RG Sharma', 'Shahid Afridi', 'SB Bangar', 'DB Ravi Teja', 'Y Venugopal Rao', 'RP Singh', 'PP Ojha']","['Sohail Tanvir', 'SR Watson', 'MM Patel', 'SK Warne', 'YK Pathan', 'SK Trivedi']",52.0,6,42,175,191
59,32,2,2008,10,1,"['GC Smith', 'YK Pathan', 'M Kaif', 'SR Watson']","['DP Vijaykumar', 'RP Singh', 'SB Styris', 'PP Ojha', 'Shahid Afridi', 'SB Bangar', 'Y Venugopal Rao']",52.0,38,149,51,169
60,18,1,2008,0,5,"['S Vidyut', 'SK Raina', 'SP Fleming', 'S Badrinath', 'MS Dhoni', 'JA Morkel']","['S Sreesanth', 'IK Pathan', 'VRV Singh', 'PP Chawla', 'JR Hopes', 'Yuvraj Singh']",61.0,113,120,153,79
61,18,2,2008,5,0,"['SE Marsh', 'JR Hopes', 'K Goel', 'RR Sarwan', 'Yuvraj Singh', 'IK Pathan', 'DPMD Jayawardene', 'PP Chawla', 'VRV Singh', 'U Kaul']","['MS Gony', 'JA Morkel', 'P Amarnath', 'CK Kapugedera', 'M Muralitharan', 'L Balaji']",35.0,117,57,114,84
62,29,1,2008,7,1,"['Salman Butt', 'SC Ganguly', 'A Chopra', 'DJ Hussey', 'T Taibu', 'LR Shukla']","['WPUJC Vaas', 'DP Vijaykumar', 'SB Styris', 'RP Singh', 'Y Venugopal Rao', 'SB Bangar', 'PP Ojha']",43.0,126,117,189,63
63,29,2,2008,1,7,"['AC Gilchrist', 'HH Gibbs', 'DB Ravi Teja', 'SB Styris', 'RG Sharma', 'Y Venugopal Rao', 'SB Bangar', 'WPUJC Vaas', 'RP Singh']","['AB Dinda', 'I Sharma', 'Umar Gul', 'SC Ganguly', 'M Kartik', 'LR Shukla']",60.0,6,42,11,77
64,32,1,2008,3,10,"['G Gambhir', 'V Sehwag', 'S Dhawan', 'AB de Villiers', 'KD Karthik', 'TM Dilshan', 'A Mishra', 'MF Maharoof', 'VY Mahesh']","['AD Mascarenhas', 'SR Watson', 'MM Patel', 'SK Trivedi', 'SK Warne']",51.0,37,142,13,191
65,32,2,2008,10,3,"['YK Pathan', 'GC Smith', 'M Kaif', 'SR Watson', 'RA Jadeja', 'AD Mascarenhas', 'SK Warne', 'Niraj Patel', 'M Rawat']","['GD McGrath', 'MF Maharoof', 'PJ Sangwan', 'VY Mahesh', 'A Mishra', 'V Sehwag']",28.0,141,37,57,124
66,27,1,2008,13,5,"['J Arunkumar', 'V Kohli', 'Misbah-ul-Haq', 'R Dravid', 'CL White', 'MV Boucher', 'P Kumar', 'R Vinay Kumar', 'Z Khan', 'A Kumble']","['S Sreesanth', 'IK Pathan', 'PP Chawla', 'VRV Singh', 'Yuvraj Singh', 'JR Hopes']",56.0,44,141,153,79
67,27,2,2008,5,13,"['SE Marsh', 'JR Hopes', 'LA Pomersbach']","['DW Steyn', 'Z Khan', 'P Kumar', 'R Vinay Kumar', 'A Kumble', 'V Kohli']",44.0,117,57,55,219
68,8,1,2008,7,3,"['Salman Butt', 'A Chopra', 'SC Ganguly', 'DJ Hussey', 'T Taibu', 'LR Shukla', 'WP Saha', 'Iqbal Abdulla']","['GD McGrath', 'PJ Sangwan', 'VY Mahesh', 'MF Maharoof', 'A Mishra', 'V Sehwag']",39.0,126,0,57,153
69,8,2,2008,3,7,"['G Gambhir', 'V Sehwag', 'AB de Villiers', 'MK Tiwary', 'TM Dilshan', 'S Dhawan', 'A Mishra', 'MF Maharoof', 'VY Mahesh', 'PJ Sangwan']","['Shoaib Akhtar', 'I Sharma', 'AB Dinda', 'SC Ganguly', 'Iqbal Abdulla', 'LR Shukla']",39.0,37,142,174,77
70,40,1,2008,0,8,"['S Vidyut', 'SP Fleming', 'SK Raina', 'S Badrinath', 'CK Kapugedera', 'MS Dhoni', 'JA Morkel']","['SM Pollock', 'A Nehra', 'DJ Bravo', 'DS Kulkarni', 'RR Raje', 'DJ Thornely']",28.0,113,123,163,5
71,40,2,2008,8,0,"['ST Jayasuriya', 'SR Tendulkar', 'RV Uthappa']","['MS Gony', 'JA Morkel', 'L Balaji', 'Joginder Sharma', 'M Muralitharan', 'CK Kapugedera']",86.0,124,127,114,84
72,9,1,2008,3,1,"['G Gambhir', 'V Sehwag', 'S Dhawan', 'MF Maharoof', 'TM Dilshan', 'MK Tiwary']","['DP Vijaykumar', 'RP Singh', 'PM Sarvesh Kumar', 'SB Styris', 'Y Venugopal Rao', 'Shahid Afridi', 'PP Ojha']",51.0,37,142,51,169
73,9,2,2008,1,3,"['AC Gilchrist', 'Shahid Afridi', 'HH Gibbs', 'RG Sharma', 'SB Styris', 'Y Venugopal Rao', 'DB Ravi Teja', 'RP Singh', 'PP Ojha', 'PM Sarvesh Kumar', 'DP Vijaykumar']","['GD McGrath', 'Mohammad Asif', 'MF Maharoof', 'A Mishra', 'R Bhatia']",74.0,6,134,57,135
74,40,1,2008,7,8,"['Salman Butt', 'A Chopra', 'SC Ganguly', 'DJ Hussey', 'Mohammad Hafeez', 'WP Saha', 'LR Shukla', 'AB Agarkar', 'Shoaib Akhtar', 'I Sharma', 'AB Dinda']","['SM Pollock', 'A Nehra', 'DJ Bravo', 'RR Raje', 'DJ Thornely']",32.0,126,0,163,5
75,40,2,2008,8,7,"['ST Jayasuriya', 'SR Tendulkar', 'RV Uthappa', 'DJ Thornely']","['Shoaib Akhtar', 'I Sharma', 'AB Agarkar']",78.0,124,127,174,77
76,32,1,2008,10,13,"['GC Smith', 'SA Asnodkar', 'SR Watson']","['Z Khan', 'P Kumar', 'JH Kallis', 'Abdur Razzak', 'A Kumble', 'V Kohli']",59.0,38,115,194,149
77,32,2,2008,13,10,"['J Arunkumar', 'V Kohli', 'Misbah-ul-Haq', 'JH Kallis', 'CL White', 'R Dravid', 'DT Patil', 'P Kumar', 'Z Khan', 'A Kumble', 'Abdur Razzak']","['Sohail Tanvir', 'MM Patel', 'SR Watson', 'SK Warne', 'SK Trivedi', 'YK Pathan', 'RA Jadeja']",26.0,44,141,175,129
78,9,1,2008,3,5,"['G Gambhir', 'V Sehwag', 'S Dhawan', 'TM Dilshan', 'MF Maharoof', 'Shoaib Malik']","['S Sreesanth', 'IK Pathan', 'VRV Singh', 'RR Powar', 'PP Chawla', 'JR Hopes']",73.0,37,142,153,79
79,9,2,2008,5,3,"['SE Marsh', 'JR Hopes', 'Yuvraj Singh', 'LA Pomersbach', 'DPMD Jayawardene']","['GD McGrath', 'PJ Sangwan', 'A Mishra', 'V Sehwag', 'MF Maharoof', 'R Bhatia']",75.0,117,57,57,153
80,29,1,2008,8,1,"['ST Jayasuriya', 'SR Tendulkar', 'DJ Thornely', 'RV Uthappa', 'AM Nayar', 'DJ Bravo', 'PR Shah', 'YV Takawale', 'RR Raje']","['DP Vijaykumar', 'DNT Zoysa', 'Y Venugopal Rao', 'RP Singh', 'Shahid Afridi', 'PP Ojha']",58.0,124,127,51,61
81,29,2,2008,1,8,"['AC Gilchrist', 'Shahid Afridi', 'RG Sharma', 'Y Venugopal Rao', 'LPC Silva', 'DB Ravi Teja', 'H Das', 'DNT Zoysa', 'RP Singh']","['A Nehra', 'DJ Bravo', 'CRD Fernando', 'RR Raje', 'AM Nayar', 'DJ Thornely', 'ST Jayasuriya']",35.0,6,134,4,56
82,8,1,2008,7,0,"['Salman Butt', 'Mohammad Hafeez', 'SC Ganguly', 'DB Das', 'DJ Hussey', 'LR Shukla', 'WP Saha']","['M Ntini', 'MS Gony', 'M Muralitharan', 'L Balaji', 'JA Morkel']",39.0,126,87,100,133
83,8,2,2008,0,7,"['PA Patel', 'SP Fleming']","['Shoaib Akhtar', 'I Sharma', 'AB Dinda', 'AB Agarkar']",46.0,87,123,174,77
84,15,1,2008,13,3,"['JH Kallis', 'B Chipli', 'SP Goswami', 'R Dravid', 'Misbah-ul-Haq', 'CL White', 'B Akhil', 'P Kumar', 'Z Khan']","['GD McGrath', 'PJ Sangwan', 'VY Mahesh', 'MF Maharoof', 'R Bhatia', 'TM Dilshan']",49.0,48,12,57,153
85,15,2,2008,3,13,"['G Gambhir', 'V Sehwag', 'AB de Villiers', 'TM Dilshan', 'S Dhawan', 'KD Karthik', 'MF Maharoof']","['DW Steyn', 'Z Khan', 'P Kumar', 'JH Kallis', 'B Akhil', 'A Kumble']",81.0,37,142,55,219
86,8,1,2008,7,10,"['Salman Butt', 'Mohammad Hafeez', 'SC Ganguly', 'DJ Hussey', 'DB Das', 'LR Shukla', 'WP Saha', 'AB Agarkar', 'Umar Gul', 'I Sharma']","['Sohail Tanvir', 'MM Patel', 'SR Watson', 'SK Trivedi', 'SK Warne', 'YK Pathan']",36.0,126,87,175,129
87,8,2,2008,10,7,"['GC Smith', 'SA Asnodkar', 'Sohail Tanvir', 'SR Watson', 'M Kaif', 'YK Pathan']","['AB Dinda', 'I Sharma', 'AB Agarkar', 'Umar Gul', 'SC Ganguly', 'LR Shukla']",42.0,38,115,11,77
88,40,1,2008,5,8,"['SE Marsh', 'JR Hopes', 'LA Pomersbach', 'Yuvraj Singh', 'DPMD Jayawardene', 'IK Pathan']","['SM Pollock', 'A Nehra', 'VS Yeligati', 'SD Chitnis', 'CRD Fernando', 'DR Smith']",44.0,117,57,163,5
89,40,2,2008,8,5,"['ST Jayasuriya', 'SR Tendulkar', 'DR Smith', 'AM Nayar', 'RV Uthappa', 'SM Pollock', 'PR Shah', 'SD Chitnis', 'A Nehra', 'CRD Fernando', 'VS Yeligati']","['S Sreesanth', 'IK Pathan', 'VRV Singh', 'PP Chawla', 'JR Hopes', 'Yuvraj Singh']",80.0,124,127,153,79
